customer Details,Overall Ratings,summary,Likelihood,pros and cons
"Kelsey C.
Source: Capterra","5/5
Overall","Hey, can we Zoom real quick?
Nov 21, 2016",NA,"Comments: We used to use Google Hangouts for the longest time, then after being disconnected 123535238427 times, we finally decided to look for another software. Yes, Google Hangouts is free and it shows. A lot. We found Zoom and were offered a 30 day trial. The ability to schedule meetings with the link in the calendar was a huge perk. The only downside is having to install the software, but luckily, it doesn't take too much time. If your computer is running quite a few programs, a white text will pop up on the screen during a video call and let you know your CPU usage is affecting the video quality. Overall, we love Zoom and it's integration with Slack. Becuase we use it ALL the time and frequently use it as a verb."
"Jane L.
Source: Capterra","4/5
Overall","Decent video conferencing software
Dec 09, 2016",7.0/10,"Cons: I wish you could have the option for Zoom to call you like WebEx does. Plus, its integration with Outlook sometimes leaves me confused.
Overall: Zoom is pretty good at what it does. Some of my coworkers have mentioned sound issues on live webinars, but I primarily use this for group meetings with our remote office. For what we need it to do, it works great - screen sharing, video (when we want it), conference lines, and chat."
"Konnie T.
Source: Capterra","5/5
Overall","So easy to use
Dec 14, 2016",9.0/10,"Pros: Easy to use, smooth quality.
Cons: Don't like recording myself.
Overall: It's a very smooth experience to either host or attend a meeting using Zoom. Have yet to run into any issues when using it."
"Neel P.
Source: Capterra","3/5
Overall","Relatively better than others
Jan 12, 2017",NA,"Comments: One of the better HD video conferencing software products available. I have used them at multiple companies, and they have less audio probs compared to other ones I have used."
"James T.
Lead Designer
Media Production, 1-10 employees
Used the software for: 6-12 months
Source: Capterra","5/5
Overall","So much better than Skype - great for our business
Feb 01, 2017",10.0/10,"Comments: Love Zoom! Really simple and easy to use... high quality... good features like recording and screen sharing. Love it.
A few things I would improve: more keyboard control, and keyboard shortcuts, for example when joining a meeting i have to click the little arrow to see recent meeting IDs, why can't I just press down arrow on my keyboard?
Also, ""always use PMI for instant meetings on this computer"" should be checked by default - I thought this was a premium feature and didn't even discover it until recently. So much easier to schedule meetings now. Didn't even know it existed..."
"Sarah C.
Source: Capterra","5/5
Overall","Worth Every Penny
Feb 10, 2017",NA,"Comments: I'm so glad I was turned onto Zoom. I host all of my sessions on there, including with groups. I love the ease of recording things, and have fun with the functionality. It's a low price point, and generally the tech works great. I'm a loyal user, and can't imagine why I'd stop."
"James M.
owner
Media Production, Self-employed
Used the software for: Less than 6 months
Source: Capterra","5/5
Overall","Zoom is the only way to go
Feb 24, 2017",10.0/10,"Pros: the best on the planet
Cons: none that I can think of
Overall: I use Zoom for teleconferencing for my mentoring business and it worked fantastic. I couldn't recommend it higher. Seamless, fast, secure, and very intuitive."
"Angel A.
Intuitive coach/speaker
Professional Training & Coaching, 1-10 employees
Used the software for: 1-2 years
Source: Capterra","5/5
Overall","Zoom is amazingly easy to use and great quality
Apr 14, 2017",10.0/10,"Pros: Recording capability

Screen sharing

Multiple version of converted files available at the end
Cons: None
Overall: I've been using zoom for my one-on-one coaching sessions with clients and also for group calls in our online community since last year's d it's simply awesome. I love the recording capability but more than that, the options available to me afterwards like, the audio version of sessions. It's freakin awesome is all I can say.
Recommendations to other buyers: Great option for teaching online and one on one sessions"
"Marco F.
Source: Capterra","5/5
Overall","Very good connection
Apr 19, 2017",9.0/10,"Pros: Call quality and ease of use.
Cons: Interface navigation is a bit confusing, specially when switching views / screen sharing, etc. Buttons move arround depending on the view you are at. For corporate users, I dislike having to contact sales person every time we need to add more licenses.
Overall: I use Zoom at a company I provide services to. We use a corporate account and use it for communications between more than 80 employees in several countries and offices. We stopped using Zoom chat, replacing with another solution with better search features (to look for older conversations). But we often use Zoom for conference calls and eventually webinars. The interface is easy to use, even though a bit confusing in the beginning. Could be more intuitive. Call quality is way better than the common old time video call competitor.

User management is not so easy, since you often have to contact a sales representant to get more licenses. Could be all online.
Recommendations to other buyers: Try it out, i's really good."
"Ling Ling L.
Distribution Associate
Publishing, 11-50 employees
Used the software for: 1-2 years
Source: Capterra","4/5
Overall","Need to screen share? Try Zoom.
Apr 20, 2017",9.0/10,"Pros: * Screen share (great for training purposes)

* Mute all

* Able to disable and enable mute and video easily

* Ability to share a zoom link with whoever needs to join the meeting
Cons: * This is probably just me, but I tend to have a headache after using Zoom, which probably has more to do with the audio quality on my end than with Zoom.

* When screen sharing, the menu box gets in the way -- it'd be nice if we could move this to be on the side or somewhere else.
Overall: I've been using Zoom for both larger and smaller meetings, it's great for both. Screen sharing doesn't lag, and being able to share a zoom link with others is so convenient!"
"Ariel K.
Source: Capterra","5/5
Overall","Zoom makes virtual meetings a breeze!
Apr 20, 2017",NA,"Comments: I have only used Zoom a handful of times, but I can already tell I will be using it exclusively in the future! It is quick and easy to get the meeting set up, and absolutely easy to use for the participants.

I especially love the ScreenShare option as that is incredibly useful for training! The free version allows up to 45 min on a call I think, but you can just start a new call if you need longer. Overall I really love Zoom and I'm thankful for how simple it is."
"Pierre-Emmanuel B.
Source: Capterra","5/5
Overall","Extremely pleased of this product
Apr 21, 2017",NA,"Comments: I would recommand this product 100%. This is easy to handle, and make life much more easy when you are constantly on the way , and that you always need to do some conferences. A code and let's go."
"Marcy B.
Program Manager
Business Supplies and Equipment, 51-200 employees
Used the software for: Less than 6 months
Source: Capterra","5/5
Overall","So far, great conferencing tool!
Jun 09, 2017",9.0/10,"Pros: We have been using for 3 months now as a replacement for start meeting. Love the real time video conferencing, and the ability to Zoom right from your phone. Easy to use and love not having to physically dial in to calls....one click and you are in! Also, great support when you need it. Zoom has worked well for our company and has saved us money in long distance calls.
Cons: Not many dislikes, but will say it is a bit harder when schedule meetings for others. May be a slight learning curve for those not entirely tech savvy.
Overall: Cost savings

Fast communication

The ability to see one another in real time across our plants

The ability to meet whenever/wherever as you can access and do video right from your phone"
"Karen T.
Partners in Mission
Religious Institutions, 51-200 employees
Used the software for: 2+ years
Source: Capterra","3/5
Overall","Zoom is a great tool for multiple people to video conference at the same time.
Jun 12, 2017",7.0/10,"Pros: Zoom can be used anywhere with an internet connection. It allowed us to reach multiple people at the same time all over the world. We can share documents and upload video. This has been a great addition to our ability to communicate.
Cons: Zoom will cut out. It will just stop. We contacted customer service... which was very difficult to reach and they stated it was our internet connection. We had a company come in and check our internet and no problems. It is unfortunate that we loose connectivity so often.
Overall: Opportunity to speak face to face with clients and partners. Ability to share documents and videos instantaneously."
"Tim C.
President
Marketing and Advertising, 11-50 employees
Used the software for: Less than 6 months
Source: Capterra","5/5
Overall","Terrific Video Conferencing and Screen Sharing Tools
Jul 19, 2017",8.0/10,"Pros: Zoom is very flexible and easy to use. It replaces the functionality provided in screen-share-only software and adds very effective video conferencing (and audio conferencing) capability.
Cons: There is still a lot that they could do to make it easier for use in a way that helps us help our clients remotely. In particular I'd like it very much if they had a feature that allowed us to trigger a screen sharing of the screen for one of the other conference call participants, for remote support purposes."
"Ann D.
Application Development Manager
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Good video conferencing tool complete with screensharing
Aug 17, 2017",7.0/10,"Pros: The ability to see everyone's video is a really nice feature. The screensharing functionality also makes this tool worth it in and of itself.
Cons: It tends to take up a lot of CPU when running. Also I don't care for the way every meeting defaults to a full screen view; it is difficult to navigate to things on my screen when I'm in a meeting.
Overall: This tool makes working remotely much easier for me. I also use it a lot to have meetings with my clients."
"Zach P.
Software Developer
Computer Software, 11-50 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","I use Zoom to join meetings that others host.
Aug 23, 2017",7.0/10,"Pros: To join a meeting, all I have to do is click the link provided to me and the application starts without necessitating me doing anything else. That's nice.
Cons: When I +Q to quit the software, it displays an annoying dialogue. I want it to quit immediately when I use my shortcut.
Overall: I get to chat and see my coworkers"
"Rohit S.
Philanthropy Operations Manager
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","My company recently switched from GoToMeeting to Zoom.
Sep 05, 2017",NA,"Pros: I like that it is really easy to get up and running. You do not have to install the program if you do not want to. Also, it is easy to do screen share and switch between presenters.
Cons: I really do not have any negative feed back. One thing that would be nice though, and maybe i just don't know how to use it, is if there was easier file sharing and transferring of files. Also if there were some more editing features of videos after you record the session."
"Scott C.
Head of Services Product Marketing
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","Solid performance, easy to use
Sep 06, 2017",9.0/10,"Pros: What I like most is the ease of use with the connectivity and usability. I also like being able to see who is speaking through the app.
Cons: Occasionally when sharing, it gets hung up, and the other person cannot see what you are sharing (which you are unaware of), which is disruptive."
"Eila S.
Product Marketing Manager
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Just what you need for video conferencing
Sep 06, 2017",NA,"Pros: Comprehensive and reliable offering that makes video conferencing accessible and manageable for remote users.
The mobile app and the ""Call Me"" feature has been a hugely helpful.
Cons: There are some redundancies in the UI and scheduling a meeting can be a time consuming and tedious process. The meeting ID can be difficult to find on invites. There are also lagging issues associated with sharing screens and presentations."
"John D.
VP
51-200 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Quick and easy
Sep 06, 2017",9.0/10,"Pros: What I like most about Zoom is the affordability. I also enjoy the ability to see who is in attendance.
Cons: With Zoom, I find that the international meetings can be problematic at times -- mainly pertaining to slow connectivity."
"Eduardo C.
Support Hero
Consumer Services, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Great tool for our meetings and training. Easy to set and the quality is fantastic.
Sep 07, 2017",10.0/10,"Pros: It allows us to get close to our clients. It is awesome that it can be integrated with Slack. Having the chat available during the meetings is great for better interactions with fewer interruptions. The quality of the video and audio is fantastic. We do not have to waste time fixing the audio.
Overall: Training: We have received a couple of training sessions through zoom with out problems. Although the clients were more than 1000mi away it seemed they were in the next room or in the office."
"Robert V.
Help Desk Manager
Education Management, 1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","OMGosh Zoom works where the other seven video conferencing apps we have licensed have failed!!!
Sep 19, 2017",9.0/10,"Pros: Consistency! We connect around the world with other universities, corporations and government institutions. At any given moment somebody here is using Zoom and loving it. Zoom is especially friendly to the new end user.
Overall: Consistent usability and compliments from user for making them aware of the product."
"Brad H.
CEO
Computer Software, 1-10 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Overall I like using zoom.
Sep 21, 2017",8.0/10,"Pros: A lot of our customers are on it so it has the advantage of our users whom we hold webinars for already being on the software.
I also like that it's a desktop app.
I like that it's pretty easy to use for the most part
Cons: I don't like the design very much at all. It feels a bit outdated.
The invite process isn't very smooth where it tries to take you to the website and then redirects you to the desktop app.
Not everything's super intuitive as far as figuring out how to use it.
Overall: It allows us to run webinars for our customers which are our principle means for marketing out app. We can mute everyone on the call while presenting and then allow people to give their input or ask questions during the Q&A afterwards. And then record the webinar for those who weren't able to make it live. Because our customers are all over the world we need a good software that can help us connect to them as many of our closest and most important relationships have been built exclusively over Zoom."
"Florian P.
CoFounder & CEO
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","3/5
Overall","Good functionality, but the need to download a player is unfortunate
Sep 22, 2017",3.0/10,"Pros: It's various features like livechat during a webinar, switching between screen sharing and the video camera, etc.
Cons: That to join a webinar one needs to download a player that messes with ones computer audio settings. Many other webinar software providers offer the same functionality just running in the browser without the need for any other software."
"Stéphanie M.
Owner/Bookkeeper
Accounting, Self-employed
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","THE BEST video conferencing software!
Sep 22, 2017",10.0/10,"Pros: There's such a minimal learning curve to use here, the software installation is small and seamless... it won't take up much space on your computer or phone. I love the UI and functionality offered.
Cons: It's REALLY hard to find anything that I like least about this product. It's been amazing to have in my toolbox. If I had to pick something, a plan tier in between the Free and Pro version would be nice.
Overall: Great for online meetings with colleagues and clients!"
"Rocky K.
lead
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","I can't use skype anymore
Oct 03, 2017",10.0/10,"Pros: It has replaced Skype, Google Hangout, and all the other webcam chat software.

Zoom just works. It works on mobile, on web, phone, everywhere. No need to download and create an account and whatever... just send someone a zoom link and they're in!
Overall: not having to install skype/google hangout or whatever just to have a live chat with somebody.
Zoom is literally perfect as a conferencing software! There's so many features that I don't use."
"Verified Reviewer
51-200 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Great experience, helps us connect easily with our remote colleagues
Oct 06, 2017",8.0/10,"Pros: Ease of use - very quick to log in with our computers or TVs . I also love being able to instantly connect to a meeting without having to input meeting IDs.
Cons: Serious lag time when we're trying play videos on Zoom for other participants. Screen-sharing is OK however."
"Laura W.
Software Engineer
Computer Software, 51-200 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Zoom has revolutionized the way I interact with remote employees
Oct 10, 2017",10.0/10,"Pros: We switched to Zoom to improve interactions with remote employees and the video streaming has had a huge impact on that. We tried a handful of other video meeting options before landing on Zoom and it is by far the most reliable and smooth experience. I love that I can see the people in my meeting and that the video quality is good. It helps our team feel more connected even though we are spread out across many states.
Cons: I wish the zoom app would sync with my calendar easier and pull in meetings that I have scheduled so I can select them right from the app instead of copying the meeting ID or URL."
"Andrea Z.
Customer Service Associate
Outsourcing/Offshoring, 201-500 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Easy to use and good audio and video quality.
Oct 11, 2017",10.0/10,"Pros: Doesn't take long to load. The screen sharing feature and the availability to have multiple members join the conference is a great tool that simplifies and makes easier to share information. Very good audio and video quality.
Cons: Haven't experienced any inconveniences while using this tool and don't there is a missing feature that should be added or improved.
Overall: Great tool for our meetings with good video and audio quality."
"Stefanos S.
Business Operations Assistant
Internet, 11-50 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","A pretty solid video experience with Zoom.
Oct 12, 2017",8.0/10,"Pros: The thing I like most about Zoom is that it never fails. We have had no connectivity or other issues while using it with even 50 participants at the same time.
The share your screen feature works quite well but we have had some hiccups in the past.
Overall I would say that if you are looking for a solid video meeting space, Zoom will do the job for you.
Cons: I would prefer a few more features to be included in the service. Mostly to have the ability to do more things during calls other than just chat or share screen. A features update would be very welcoming.
Overall: - A never failing online meeting space

- Ability for paid employees to have their own room

- Good support service"
"Stephen C.
Director of Operations
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","All around, good video communication software
Oct 17, 2017",NA,"Pros: The quality and lack of people logging in and not being able to get in has been minimum. It's been a great 3 months so far
Cons: It's a little complicated setting up a meeting. The extension helps but still requires an entire additional step of ""creating a meeting"""
"Andrea H.
Licensed Producer/Office Manager
Insurance
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","I use this software to participate in video conferencing.
Oct 18, 2017",9.0/10,"Pros: I like that you can see all the different video feeds of the participants at the same time. This helps to know who is talking. I also like the chat and screen share feature.
Overall: easy, effective, group, collaboration"
"Mikelle M.
Self-Employed
Education Management, Self-employed
Reviewer Source 
Source: Capterra","5/5
Overall","A very brief but positive experience
Oct 19, 2017",10.0/10,"Pros: It was easy to set up and enter the meeting - a very reliable service. Good picture and sound. I also liked the option to use my phone through the app. The website is also easy to navigate.
Overall: The ability to expand my client base while sacrificing as little as possible when compared to in-person interaction."
"Ron C.
Minister
Religious Institutions, 1-10 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","5/5
Overall","Love this produce
Oct 21, 2017",10.0/10,"Pros: Love this product. I use this with my online students and it is easy and quick to setup. Have had little issues with it during a class.
Cons: Not much negative to write about this. Very little problems and issues with this software. Well worth the money."
"Verified Reviewer
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","I feel like I upgraded from Skype and use Zoom all the time!
Oct 31, 2017",10.0/10,"Pros: The range of things you can do with Zoom. Decent streaming quality, no limits on one-to-one meetings.
Cons: The back end/testing area for video/audio etc. can be hard to find and switching views is tricky sometimes.
Overall: Connecting with folks around the world as an online business owner with few streaming problems."
"Andrew Z.
Head of Sales
Internet, 1-10 employees
Used the software for: 2+ years
Reviewer Source 
Source: Capterra","4/5
Overall","Perfect for small business
Nov 07, 2017",8.0/10,"Pros: We switched to Zoom from GoToMeeting. Mostly because our team was growing so quickly we wanted to see if there was a cheaper solution. We made the switch and it does everything we need. The screen share quality is very good. I have not reached out to their support one time. So I assume it is good because there is never an issue.
Cons: I do wish there were more integrations with the other software we use like GoToMeeting did but we still like it regardless.
Overall: Huge cost savings for small businesses with a low budget."
"Verified Reviewer
Hospital & Health Care
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","My previous company began using this software to increase communication.
Nov 09, 2017",NA,"Pros: This software was easy to use, could seamlessly connect a cell phone user with an in-person meeting with a phone caller. The video was excellent quality as well.
Cons: I had some issues with using the zoom app on my phone. It wouldn't freeze my video when I wanted it too."
"Verified Reviewer
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Connecting People
Nov 09, 2017",7.0/10,"Pros: Zoom allows me to meet with classrooms all over the world. I utilize this platform to communicate and hold meetings with colleagues as well. I love that I'm able to see them and have other functions available like the chat box and Q and A. This is a huge help when working with students and colleagues.
Cons: I wish when you entered from a phone that you could split the screen so that you could see the chat box as well as the people talking. You aren't able to keep up with both due to having to switch back and forth. I do like how new chats pop up at the bottom though."
"Cortney H.
Digital Marketing Manager
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","Great for remote meetings
Nov 14, 2017",NA,"Pros: This software has enabled us to hold remote video meetings with people that aren't located near our business. The quality of the sound/video is good for all our needs.
Cons: Overall have not found any cons with this software, aside from having to download an application before using it."
"Ankit S.
Engineer
Telecommunications
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Good tool for video conferencing
Nov 15, 2017",10.0/10,"Pros: 1. Its lightweight software, quality of voice and video is very good

2. Screen share and recording is easy"
"Verified Reviewer
Consumer Services, 11-50 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Brilliant and Great for Hosting Webinars
Nov 16, 2017",NA,"Pros: I tried this as a speaker in an online webinar and I was really impressed. It's super fast and does not lag or anything. Even allows multiple people to join and share their video. Perfect for hosting a webinar with multiple speakers.
Cons: There was not that much that i didn't like about it. Perhaps the user experience was a bit confusion at first but then I got used to it."
"Katie B.
MSC
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","4/5
Overall","Convenient way to run meetings remotely. Allows for flexibility for companies that are spread out
Nov 16, 2017",NA,Pros: Makes video conferencing simple and easy. I work in a decentralized location and I have to attend a lot of meeting remotely and Zoom has always worked well for me.
"Juan Ignacio G.
SEO Senior Analyst
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Tool with simple interface that fulfills its purpose
Nov 21, 2017",9.0/10,"Pros: Its interface is the best it has, very intuitive and easy to use; to maintain contact with the customer is a very practical and fast connection tool. In addition, the invitations to join a video call are direct and do not require many clicks to enter.
Cons: I think that being a simple interface, it is difficult to find the different buttons with all the functionalities that the tool has. In the first uses it costs a bit to find buttons like those to mute the microphone; It would also be good that when you enter the video call, the video option appears off and you can choose whether to turn it on or not.
Overall: I met the tool through one of the clients the first time we had a video call and it seemed a very easy tool to use and practical; today I use it for personal video calls or with other clients I manage in the agency."
"Mark F.
Director of Customer Care - Office of Information Technology
Higher Education, 1001-5000 employees
Used the software for: 1-2 years
Reviewer Source 
Source: Capterra","5/5
Overall","One of the best tools on the market
Nov 27, 2017",10.0/10,"Pros: It was so easy to switch and use. We consolidated from LifeSize, hangouts, tanburg and other tools and there was no user resistance. It was easy for everyone to just pick up and start using this new tool.
Overall: We use this for team meetings, interviews and external collaboration. It is easy to connect to, the quality to very good and it is great to use."
"Jessica F.
Manager
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","4/5
Overall","Keeps us in compliance with Hippa guidelines
Dec 09, 2017",8.0/10,"Pros: This video conferencing allows us to be Hippa compliant yet still connect with our clients in a way that is convenient for their schedules.
Cons: The challenge we find is that a clients log in code is different weekly which sometimes causes confusion for the client logging in
Overall: This software keeps us in compliance with Hippa while allowing us to serve our clients in a way that is convenient for them"
"Verified Reviewer
Computer Software, 1001-5000 employees
Used the software for: Less than 6 months
Reviewer Source 
Source: Capterra","5/5
Overall","Flexible and lightweight videoconferencing software
Dec 11, 2017",7.0/10,"Pros: The biggest thing I like about Zoom is that it's easy to use. The browser extension is easy to install and generally ""just works."" It integrates well with the videoconferencing hardware at the office which is definitely a huge bonus.
Cons: I'm a big proponent of high-quality video for meetings so that you can see the other person near face-to-face. The challenge with Zoom is the participant video is of fixed size. I wish there was a way to expand faces so that the meeting felt a bit more personal."
"Verified Reviewer
Human Resources, 11-50 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","5/5
Overall","Videoconferencing light and easy
Dec 12, 2017",9.0/10,"Pros: Super easy to use! The meetings and webinars are set up easily and the app makes it fast to get in the conference and use it. Call quality is great, screen sharing and recording are easy to use.I
Cons: This has happened me twice, the meeting ID can be difficult to find on invites. Overall everything else works great.
Overall: Pretty easy webinars and online meetings!"
"Alex L.
Sr. Manager, Marketing Operations
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","4/5
Overall","Easy messaging and video conferencing system
Dec 15, 2017",NA,"Pros: Zoom video conferencing is much better than many other alternatives that I've used in the past. Pushing content, sharing screens, etc. is very easy and quick.
Cons: A better mobile experience, other than through links, would be helpful. I feel like a more upfront mobile app would allow me to do my job and avoid having to always reference my outlook calendar and then access the zoom meetings through links."
"Verified Reviewer
Entertainment, 1001-5000 employees
Used the software for: 6-12 months
Reviewer Source 
Source: Capterra","3/5
Overall","Not as smooth as it could be
Jan 04, 2018",5.0/10,"Pros: I like that it helped me to conference with my direct sales team. It helped us to ""come together"" to discuss trends in our business and to encourage each other. I was able to see each person and hear their ideas.
Cons: My uplines were not very good about making it look professional, and we had a lot of technical problems.
Overall: I was able to meat with my team."
